Province,Occupation,Gender,Employment
Manitoba,21301 Mechanical engineers,Men,1300
Manitoba,21301 Mechanical engineers,Women,120
Manitoba,21310 Electrical and electronics engineers,Total,1085
Manitoba,21310 Electrical and electronics engineers,Men,935
Manitoba,21310 Electrical and electronics engineers,Women,150
Manitoba,21311 Computer engineers (except software engineers and designers),Total,425
Manitoba,21311 Computer engineers (except software engineers and designers),Men,400
Manitoba,21311 Computer engineers (except software engineers and designers),Women,30
Manitoba,3 Health occupations,Total,61660
Manitoba,3 Health occupations,Men,13445
Manitoba,3 Health occupations,Women,48215
